trinotate.gene_id	trinotate.gene_ontology_BLASTP
LALB_v3.1_04132	GO:0032444, GO:0005813, GO:0000785, GO:0005737, GO:0005829, GO:0071144, GO:0005654, GO:0005634, GO:0032991, GO:0090575, GO:0071141, GO:0005667, GO:0003682, GO:0005518, GO:0003677, GO:0001228, GO:0003700, GO:0000981, GO:0031005, GO:0070411, GO:0042802, GO:0046872, GO:0042803, GO:0044877, GO:0070412, GO:0000978, GO:0000977, GO:0061629, GO:0043565, GO:0046332, GO:0043199, GO:0000976, GO:0001223, GO:0001222, GO:0030325, GO:0009653, GO:0009952, GO:0036302, GO:0003190, GO:0007411, GO:0030509, GO:0003360, GO:0001658, GO:0014898, GO:0003279, GO:0030154, GO:0008283, GO:0071333, GO:0048589, GO:0006351, GO:0042733, GO:0060956, GO:0007492, GO:0042118, GO:0010631, GO:0001837, GO:0003198, GO:0070371, GO:0097191, GO:0008585, GO:0061040, GO:0048859, GO:0007369, GO:0001702, GO:0001701, GO:0070102, GO:0006879, GO:0035556, GO:0001822, GO:0003220, GO:0008584, GO:0048382, GO:0007498, GO:0072133, GO:0090090, GO:0010614, GO:1905305, GO:0030308, GO:0008285, GO:0045892, GO:0070373, GO:0042177, GO:0000122, GO:0072134, GO:0014033, GO:0048663, GO:0048665, GO:0001649, GO:0003148, GO:0001541, GO:0030513, GO:0010666, GO:0003251, GO:0045893, GO:0010718, GO:1901203, GO:0046881, GO:0010628, GO:0033686, GO:1902895, GO:0060391, GO:0045944, GO:0030511, GO:0042127, GO:0051797, GO:0006357, GO:0017015, GO:0032909, GO:0001666, GO:0071559, GO:0048733, GO:0062009, GO:0072520, GO:0007338, GO:0060395, GO:0032525, GO:0007283, GO:0048729, GO:0006366, GO:0007179, GO:0060065, GO:0060412
LALB_v3.1_03558	GO:0016020
LALB_v3.1_03881	GO:0030122, GO:0043231, GO:0035615, GO:0072583, GO:0006886, GO:0016192
LALB_v3.1_03189	GO:0062129, GO:0031012, GO:0005576, GO:0032992, GO:0008061, GO:0030023, GO:0008010, GO:0042302, GO:0040003
LALB_v3.1_03189	GO:0062129, GO:0031012, GO:0005576, GO:0032992, GO:0008061, GO:0030023, GO:0008010, GO:0042302, GO:0040003
LALB_v3.1_03189	GO:0062129, GO:0031012, GO:0005576, GO:0032992, GO:0008061, GO:0030023, GO:0008010, GO:0042302, GO:0040003
LALB_v3.1_03183	GO:0004021, GO:0030170, GO:0006103, GO:0009058, GO:0042853, GO:0042851
LALB_v3.1_04130	GO:0005737, GO:0005829, GO:0048471, GO:0004586, GO:0042803, GO:0008283, GO:0001822, GO:0006595, GO:0008284, GO:0009446, GO:0033387, GO:0042176, GO:0009615
LALB_v3.1_03481	GO:0005743, GO:0005634, GO:0032981
LALB_v3.1_03399	.
LALB_v3.1_03296	.
LALB_v3.1_03927	GO:0005777, GO:0005524, GO:0004321, GO:0016874, GO:0009695, GO:0031408
LALB_v3.1_04050	.
LALB_v3.1_03298	.
LALB_v3.1_03298	.
LALB_v3.1_04165	.
LALB_v3.1_03380	.
LALB_v3.1_04197	.
LALB_v3.1_04197	.
LALB_v3.1_03192	GO:0005829, GO:0005730, GO:0005654, GO:0005634, GO:0046872, GO:0051019, GO:0017018, GO:0004722, GO:0009267, GO:0030330, GO:0006306, GO:0000086, GO:0031507, GO:0045814, GO:0009617
LALB_v3.1_03634	GO:0005576, GO:0050660, GO:0140762
LALB_v3.1_03348	GO:0005886, GO:0005524, GO:0004697, GO:0046872, GO:0004687, GO:0106310, GO:0060361, GO:0006468
LALB_v3.1_03348	GO:0005886, GO:0005524, GO:0004697, GO:0046872, GO:0004687, GO:0106310, GO:0060361, GO:0006468
LALB_v3.1_03348	GO:0005886, GO:0005524, GO:0004697, GO:0046872, GO:0004687, GO:0106310, GO:0060361, GO:0006468
LALB_v3.1_03264	GO:0005737, GO:0005829, GO:0032039, GO:0016020, GO:0031965, GO:0005654, GO:0005634, GO:0034243, GO:0034472, GO:0016180
LALB_v3.1_04044	GO:0005654, GO:0005634, GO:0005524, GO:0016887, GO:0003723, GO:0003724, GO:0030307, GO:0044357, GO:0006364
LALB_v3.1_03970	.
LALB_v3.1_03405	GO:0005829, GO:0016155, GO:0016620, GO:0009258, GO:0009058, GO:0006740, GO:0006730
LALB_v3.1_03405	GO:0005829, GO:0016155, GO:0016620, GO:0009258, GO:0009058, GO:0006740, GO:0006730
LALB_v3.1_03197	GO:0016324, GO:0140161, GO:0006846, GO:0006821, GO:0015705, GO:0015727, GO:2001142, GO:0015706, GO:0015730, GO:0006848
LALB_v3.1_03165	.
LALB_v3.1_03333	GO:0005884, GO:0034451, GO:0031463, GO:0005737, GO:0005829, GO:0005783, GO:0016234, GO:0030496, GO:0005654, GO:0097718, GO:0042802, GO:0061629, GO:1990756, GO:0071353, GO:0034599, GO:0001701, GO:0043433, GO:0032436, GO:0016567, GO:0010506, GO:0045604, GO:0006511
LALB_v3.1_04192	.
LALB_v3.1_03221	.
LALB_v3.1_03814	GO:0005634, GO:0016706, GO:0051864, GO:0140680, GO:0034647, GO:0005506, GO:0045892
LALB_v3.1_04183	.
LALB_v3.1_03130	GO:0030275, GO:0035660, GO:0002756, GO:0032760, GO:0006355, GO:0016055
LALB_v3.1_03130	GO:0030275, GO:0035660, GO:0002756, GO:0032760, GO:0006355, GO:0016055
LALB_v3.1_03922	GO:0005769, GO:0015031
LALB_v3.1_03922	GO:0005769, GO:0015031
LALB_v3.1_03922	GO:0005769, GO:0015031
LALB_v3.1_03511	GO:0005634, GO:0000981, GO:0000978, GO:0009653, GO:0030154, GO:0006357
LALB_v3.1_03346	GO:0005737, GO:0005634, GO:0046907, GO:0015031
LALB_v3.1_03249	.
LALB_v3.1_04069	.
LALB_v3.1_03714	GO:0005776, GO:0031410, GO:0005096, GO:0006914, GO:1901096
LALB_v3.1_03545	GO:0071339, GO:0090575, GO:0003677, GO:0003700, GO:0046983, GO:0045944
LALB_v3.1_03984	GO:0031510, GO:0008641, GO:0016925
LALB_v3.1_03759	GO:0005737, GO:0005783, GO:0005789, GO:0048471, GO:0005102, GO:0006621, GO:2000209, GO:0010469
LALB_v3.1_04210	GO:0005730, GO:0005634, GO:0035861, GO:0003677, GO:0044547, GO:0003690, GO:0004519, GO:0140954, GO:0046975, GO:0042800, GO:0042803, GO:0003697, GO:0000014, GO:0008270, GO:0008283, GO:0006308, GO:0000729, GO:0015074, GO:0006303, GO:0032259, GO:0044774, GO:2001251, GO:0090305, GO:2000373, GO:2001034, GO:0031297
LALB_v3.1_03453	GO:0022625, GO:0005634, GO:0019843, GO:0003735, GO:1904841, GO:0000027, GO:0006412
LALB_v3.1_03453	GO:0022625, GO:0005634, GO:0019843, GO:0003735, GO:1904841, GO:0000027, GO:0006412
LALB_v3.1_03958	GO:0016020
LALB_v3.1_04206	.
LALB_v3.1_03673	GO:0000785, GO:0010369, GO:0000775, GO:0000781, GO:0001939, GO:0000792, GO:0043231, GO:0001940, GO:0016604, GO:0005654, GO:0005634, GO:0005721, GO:0090734, GO:0005819, GO:0003682, GO:0003677, GO:0019899, GO:1990226, GO:0042802, GO:0035064, GO:0060090, GO:0006325, GO:0006974, GO:0000122
LALB_v3.1_03151	GO:0005856, GO:0005770, GO:0005764, GO:0017146, GO:0005886, GO:0014069, GO:0098839, GO:0016595, GO:0022849, GO:0004972, GO:1904315, GO:0008270, GO:0097553, GO:0060079, GO:0060291, GO:0051290, GO:0035249
LALB_v3.1_03859	.
LALB_v3.1_03641	GO:0016323, GO:0005737, GO:0030659, GO:0005783, GO:0045121, GO:0034702, GO:0005886, GO:0008076, GO:0005516, GO:0005251, GO:0015271, GO:0005546, GO:0005249, GO:0048839, GO:0050892, GO:0086009, GO:0060453, GO:0070293
LALB_v3.1_03641	GO:0016323, GO:0005737, GO:0030659, GO:0005783, GO:0045121, GO:0034702, GO:0005886, GO:0008076, GO:0005516, GO:0005251, GO:0015271, GO:0005546, GO:0005249, GO:0048839, GO:0050892, GO:0086009, GO:0060453, GO:0070293
LALB_v3.1_03641	GO:0016323, GO:0005737, GO:0030659, GO:0005783, GO:0045121, GO:0034702, GO:0005886, GO:0008076, GO:0005516, GO:0005251, GO:0015271, GO:0005546, GO:0005249, GO:0048839, GO:0050892, GO:0086009, GO:0060453, GO:0070293
LALB_v3.1_03467	.
LALB_v3.1_03956	GO:0005694, GO:0005737, GO:0005634, GO:0043138, GO:0005524, GO:0016887, GO:0003678, GO:1990814, GO:0009378, GO:0006268, GO:0000724
LALB_v3.1_04208	.
LALB_v3.1_03577	GO:0045177, GO:0016324, GO:0030424, GO:0044295, GO:0005903, GO:0031526, GO:0009986, GO:0005905, GO:0030425, GO:0030139, GO:0005783, GO:0005768, GO:0031904, GO:0009897, GO:0005615, GO:0005794, GO:0016020, GO:0005886, GO:0032991, GO:0043235, GO:0005509, GO:0038024, GO:0030492, GO:0042562, GO:0031994, GO:0050750, GO:0016922, GO:0030165, GO:0140318, GO:0044877, GO:0051087, GO:0017124, GO:0097242, GO:0035904, GO:0008283, GO:0071363, GO:0061642, GO:0060982, GO:0060976, GO:0034311, GO:0020028, GO:0006897, GO:0016197, GO:1904447, GO:0030900, GO:0007507, GO:0001822, GO:0008584, GO:0030001, GO:0043066, GO:0030514, GO:0001843, GO:0140058, GO:0003148, GO:0043491, GO:0045807, GO:0140077, GO:0050769, GO:0070447, GO:0051897, GO:0017038, GO:0015031, GO:0061156, GO:0006898, GO:0044321, GO:0010165, GO:0003139, GO:0007605, GO:0045056, GO:0060068, GO:0003223, GO:0003281, GO:0042359
LALB_v3.1_03577	GO:0045177, GO:0016324, GO:0030424, GO:0044295, GO:0005903, GO:0031526, GO:0009986, GO:0005905, GO:0030425, GO:0030139, GO:0005783, GO:0005768, GO:0031904, GO:0009897, GO:0005615, GO:0005794, GO:0016020, GO:0005886, GO:0032991, GO:0043235, GO:0005509, GO:0038024, GO:0030492, GO:0042562, GO:0031994, GO:0050750, GO:0016922, GO:0030165, GO:0140318, GO:0044877, GO:0051087, GO:0017124, GO:0097242, GO:0035904, GO:0008283, GO:0071363, GO:0061642, GO:0060982, GO:0060976, GO:0034311, GO:0020028, GO:0006897, GO:0016197, GO:1904447, GO:0030900, GO:0007507, GO:0001822, GO:0008584, GO:0030001, GO:0043066, GO:0030514, GO:0001843, GO:0140058, GO:0003148, GO:0043491, GO:0045807, GO:0140077, GO:0050769, GO:0070447, GO:0051897, GO:0017038, GO:0015031, GO:0061156, GO:0006898, GO:0044321, GO:0010165, GO:0003139, GO:0007605, GO:0045056, GO:0060068, GO:0003223, GO:0003281, GO:0042359
LALB_v3.1_03495	GO:0005737, GO:0043232, GO:0071598, GO:0005634, GO:0098794, GO:0008190, GO:0030371, GO:0008286, GO:0007613, GO:0050804, GO:0045947, GO:0048167, GO:0006446, GO:0035176, GO:0031929
LALB_v3.1_03615	GO:0005737, GO:0005739, GO:0051537, GO:0046872, GO:0016226, GO:0097428, GO:0071000
LALB_v3.1_04102	GO:0005737, GO:0005634, GO:0030246, GO:0047938, GO:0005975
LALB_v3.1_03629	.
LALB_v3.1_03208	GO:0042995, GO:0031594, GO:0048786, GO:0098831, GO:0097060, GO:0005096, GO:0090630, GO:0048846, GO:0016477, GO:0030030, GO:0048789, GO:0048790, GO:1990709, GO:0045467, GO:0046578, GO:0007266, GO:0007416, GO:0097479
LALB_v3.1_03208	GO:0042995, GO:0031594, GO:0048786, GO:0098831, GO:0097060, GO:0005096, GO:0090630, GO:0048846, GO:0016477, GO:0030030, GO:0048789, GO:0048790, GO:1990709, GO:0045467, GO:0046578, GO:0007266, GO:0007416, GO:0097479
LALB_v3.1_03208	GO:0042995, GO:0031594, GO:0048786, GO:0098831, GO:0097060, GO:0005096, GO:0090630, GO:0048846, GO:0016477, GO:0030030, GO:0048789, GO:0048790, GO:1990709, GO:0045467, GO:0046578, GO:0007266, GO:0007416, GO:0097479
LALB_v3.1_04076	.
LALB_v3.1_03462	GO:0005783, GO:0005615, GO:0048471, GO:0005506, GO:0031418, GO:0050211, GO:0033823, GO:0008475, GO:0007295
LALB_v3.1_03462	GO:0005783, GO:0005615, GO:0048471, GO:0005506, GO:0031418, GO:0050211, GO:0033823, GO:0008475, GO:0007295
LALB_v3.1_03860	.
LALB_v3.1_03572	.
LALB_v3.1_03572	.
LALB_v3.1_03760	GO:0012505, GO:0005789, GO:0004791, GO:0045454
LALB_v3.1_04031	GO:0005737, GO:0032527
LALB_v3.1_04107	.
LALB_v3.1_03210	.
LALB_v3.1_03210	.
LALB_v3.1_03735	.
LALB_v3.1_03835	GO:0003676
LALB_v3.1_04078	GO:0031012, GO:0005576, GO:0050693, GO:0046872, GO:0007155, GO:1902430, GO:1902993, GO:0010954, GO:0016485
LALB_v3.1_04151	.
LALB_v3.1_03206	GO:0005789, GO:0005576, GO:0005886, GO:0031642, GO:0048715, GO:1900181, GO:0010955
LALB_v3.1_03520	GO:0005634, GO:0004879, GO:0003707, GO:0000978, GO:0008270, GO:0048856, GO:0030154, GO:0032869, GO:0042593, GO:0016042, GO:0034440, GO:0006357
LALB_v3.1_03520	GO:0005634, GO:0004879, GO:0003707, GO:0000978, GO:0008270, GO:0048856, GO:0030154, GO:0032869, GO:0042593, GO:0016042, GO:0034440, GO:0006357
LALB_v3.1_03309	.
LALB_v3.1_03374	GO:0000139, GO:0005886, GO:0051119, GO:0007431
LALB_v3.1_03374	GO:0000139, GO:0005886, GO:0051119, GO:0008643, GO:0007431
LALB_v3.1_03212	GO:0005789, GO:0005794, GO:0004307, GO:0046872, GO:0006646
LALB_v3.1_03303	.
LALB_v3.1_03361	GO:0005789, GO:0016020, GO:0047408, GO:0016787, GO:0006629
LALB_v3.1_03911	GO:0005829, GO:0005654, GO:0005634, GO:0003677, GO:0000981, GO:0001227, GO:0019904, GO:0000978, GO:0000977, GO:0007298, GO:0001709, GO:0008340, GO:0007391, GO:0006897, GO:0007173, GO:0008543, GO:0008406, GO:0055001, GO:0090090, GO:0110118, GO:0045892, GO:0035157, GO:0010629, GO:0045677, GO:0035155, GO:0000122, GO:0060233, GO:1903688, GO:0010628, GO:0007464, GO:0090175, GO:0050767, GO:0006357, GO:0045500, GO:0048010
LALB_v3.1_03522	GO:0012505, GO:0005789, GO:0008250, GO:0006915, GO:0006487
LALB_v3.1_03435	.
LALB_v3.1_03118	.
LALB_v3.1_03118	.
LALB_v3.1_03945	GO:0030424, GO:0030425, GO:0000139, GO:0005524, GO:0046872, GO:0004672, GO:0106310, GO:0004674, GO:0016310
LALB_v3.1_03945	GO:0030424, GO:0030425, GO:0000139, GO:0005524, GO:0046872, GO:0004672, GO:0106310, GO:0004674, GO:0016310
LALB_v3.1_03945	GO:0030424, GO:0030425, GO:0000139, GO:0005524, GO:0046872, GO:0004672, GO:0106310, GO:0004674, GO:0016310
LALB_v3.1_03945	GO:0030424, GO:0030425, GO:0000139, GO:0005524, GO:0046872, GO:0004672, GO:0106310, GO:0004674, GO:0016310
LALB_v3.1_04026	GO:0005829, GO:0005654, GO:0005634, GO:0034098, GO:0061629, GO:0043130, GO:0031625, GO:0043161
LALB_v3.1_03324	GO:0140672, GO:0017054, GO:0005654, GO:0090575, GO:0003677, GO:0046982, GO:0016251, GO:0017025, GO:0000122, GO:0051726, GO:0051302, GO:0045995, GO:0090043, GO:0051123
LALB_v3.1_04028	.
LALB_v3.1_03460	GO:0042302
LALB_v3.1_03570	GO:0016020
LALB_v3.1_03862	GO:0005813, GO:0005868, GO:0005829, GO:0030286, GO:0000776, GO:0005770, GO:0016020, GO:0005874, GO:0005524, GO:0045504, GO:0042802, GO:1990090, GO:0051642, GO:0000226, GO:0007018
LALB_v3.1_03862	GO:0005813, GO:0005868, GO:0005829, GO:0030286, GO:0000776, GO:0005770, GO:0016020, GO:0005874, GO:0005524, GO:0045504, GO:0042802, GO:1990090, GO:0051642, GO:0000226, GO:0007018
LALB_v3.1_03862	GO:0005813, GO:0005868, GO:0005829, GO:0030286, GO:0000776, GO:0005770, GO:0016020, GO:0005874, GO:0005524, GO:0045504, GO:0042802, GO:1990090, GO:0051642, GO:0000226, GO:0007018
LALB_v3.1_03862	GO:0005813, GO:0005868, GO:0005829, GO:0030286, GO:0000776, GO:0005770, GO:0016020, GO:0005874, GO:0005524, GO:0045504, GO:0042802, GO:1990090, GO:0051642, GO:0000226, GO:0007018
LALB_v3.1_03862	GO:0005813, GO:0005868, GO:0005829, GO:0030286, GO:0000776, GO:0005770, GO:0016020, GO:0005874, GO:0005524, GO:0045504, GO:0042802, GO:1990090, GO:0051642, GO:0000226, GO:0007018
LALB_v3.1_03762	GO:0005680, GO:0005829, GO:0000792, GO:0015630, GO:0005654, GO:0005634, GO:0005819, GO:0140767, GO:0019903, GO:0031145, GO:0007420, GO:0007049, GO:0051301, GO:0045842, GO:0070979, GO:0016567, GO:0051445, GO:0007346
LALB_v3.1_03895	.
LALB_v3.1_03867	.
LALB_v3.1_04116	GO:0030424, GO:0030425, GO:0043005, GO:0043025, GO:0005886, GO:0003823, GO:0008046, GO:0098632, GO:0042802, GO:0042803, GO:0048846, GO:0007411, GO:0007413, GO:0021551, GO:0070593, GO:0050976, GO:0032490, GO:0007156, GO:0016319, GO:0048666, GO:0007422, GO:0006909, GO:0050770, GO:0048814, GO:0007419
LALB_v3.1_03623	GO:0005737, GO:0005634
LALB_v3.1_04100	GO:0016593, GO:0000791, GO:0016607, GO:0005654, GO:0000993, GO:0042169, GO:0001832, GO:0001835, GO:0071222, GO:0001711, GO:0001826, GO:0070102, GO:0045814, GO:0045638, GO:0000122, GO:0045944, GO:0007259, GO:0019827, GO:0006368, GO:0001829, GO:0016055
LALB_v3.1_03767	.
LALB_v3.1_03767	.
LALB_v3.1_03795	GO:0005739, GO:0051537, GO:0051539, GO:0005506, GO:0016226, GO:0106035
LALB_v3.1_03795	GO:0005739, GO:0051537, GO:0051539, GO:0005506, GO:0016226, GO:0106035
LALB_v3.1_03604	GO:0005886, GO:0051119, GO:0015574, GO:0015771
LALB_v3.1_03679	.
LALB_v3.1_04091	GO:0005634, GO:0000981, GO:0046872, GO:0000977, GO:0006357
LALB_v3.1_04212	.
LALB_v3.1_03217	.
LALB_v3.1_03853	GO:0005634, GO:1990904, GO:0000127, GO:0003677, GO:0000995, GO:0042791, GO:0006384
LALB_v3.1_03753	GO:0005829, GO:0005789, GO:0000139, GO:0005886, GO:0019003, GO:0005525, GO:0003924, GO:0046872, GO:0045176, GO:0033500, GO:0042632, GO:0000082, GO:0008286, GO:0055088, GO:0035264, GO:0010507, GO:1904503, GO:1903940, GO:1902669, GO:0030307, GO:0045793, GO:0002052, GO:0090070, GO:0045887, GO:1904263, GO:0045727, GO:0010506, GO:0042594, GO:0007264, GO:0007430
LALB_v3.1_04118	GO:0016323, GO:0005886, GO:0061768, GO:0043009, GO:0010960, GO:0048793
LALB_v3.1_04118	GO:0016323, GO:0005886, GO:0061768, GO:0043009, GO:0010960, GO:0048793
LALB_v3.1_03459	GO:0042302
LALB_v3.1_03527	.
LALB_v3.1_03527	.
LALB_v3.1_03452	GO:0005789, GO:0050660, GO:0010181, GO:0050661, GO:0003958
LALB_v3.1_03452	GO:0005789, GO:0050660, GO:0010181, GO:0050661, GO:0003958
LALB_v3.1_03850	GO:0016363, GO:0016607, GO:0005654, GO:0005634, GO:0071011, GO:0005681, GO:0005689, GO:0005686, GO:0071005, GO:0005684, GO:0003677, GO:0003723, GO:0008270, GO:0000398, GO:0045893, GO:0048863, GO:1903241
LALB_v3.1_04124	GO:1990391, GO:0000118, GO:0005654, GO:0003682, GO:0003677, GO:0046872, GO:0006325, GO:0000122
LALB_v3.1_03750	GO:0005737, GO:0005634, GO:0008285, GO:0045930
LALB_v3.1_03485	.
LALB_v3.1_03672	.
LALB_v3.1_03620	GO:0035577, GO:0042584, GO:0061202, GO:0005829, GO:0005794, GO:0043231, GO:0005765, GO:0042470, GO:0016020, GO:0005739, GO:0031594, GO:0005886, GO:0098793, GO:0035579, GO:0030672, GO:0043008, GO:0061077, GO:0006887, GO:0043524, GO:0051402, GO:0045055, GO:0098693, GO:0016079
LALB_v3.1_03620	GO:0042584, GO:0005829, GO:0005794, GO:0043231, GO:0042470, GO:0016020, GO:0031594, GO:0005886, GO:0098793, GO:0008021, GO:0061077, GO:0043524, GO:0051402, GO:0098693
LALB_v3.1_03620	GO:0042584, GO:0005829, GO:0005794, GO:0043231, GO:0042470, GO:0016020, GO:0031594, GO:0005886, GO:0098793, GO:0008021, GO:0061077, GO:0043524, GO:0051402, GO:0098693
